"username";"email";"first_name";"last_name";"birth_date";"country";"subscription_type";"liked_songs_id"
"U0011434";"steeletina@example.com";"Lindsay";"Ramos";"1983/09/21";"Timor-Leste";"Norml";"['S0004192', 'S0008751', 'S0002316', 'S0000972', 'S0001279', 'S0002016', 'S0000446', 'S0004306', 'S0001087', 'S0007732', 'S0009238', 'S0007359', 'S0002654', 'S0003373', 'S0006304', 'S0005518', 'S0005959', 'S0004022', 'S0006157', 'S0003097', 'S0007583', 'S0007996', 'S0003038', 'S0001236', 'S0003442', 'S0006349', 'S0004888', 'S0002754', 'S0010378', 'S0008398', 'S0009337', 'S0002001', 'S0010294', 'S0006005', 'S0004949']"
"U0011449";"robleselizabeth@example.net";"Andrea";"Pratt";"19690/12/30";"Saint Lucia";"normal";"['S0000016', 'S0003292', 'S0000901', 'S0008352', 'S0010712', 'S0000422', 'S0010382', 'S0000844', 'S0002159', 'S0003066', 'S0000597', 'S0007926', 'S0004306', 'S0003886', 'S0009721', 'S0002343', 'S0010565', 'S0002707', 'S0010501', 'S0001790', 'S0005147', 'S0005990', 'S0006698', 'S0001473', 'S0009123', 'S0002798', 'S0010105', 'S0008446', 'S0000188', 'S0000242', 'S0010331', 'S0008505', 'S0007659', 'S0007914', 'S0002834', 'S0007735', 'S0008107', 'S0006872', 'S0000494', 'S0004809', 'S0002989', 'S0001346', 'S0003645', 'S0000272', 'S0001148', 'S0006858', 'S0005365', 'S0002336']"
"U0010962";"gonzaleskathleen@example.com";"Patricia";"Rodriguez";"2186/12/02";"French Polynesia";"normal";"['S0006682', 'S0007599', 'S0008748', 'S0001348', 'S0005627', 'S0005816', 'S0008401', 'S0007415', 'S0004784', 'S0006634', 'S0003820', 'S0003657', 'S0004902', 'S0006932', 'S0006801', 'S0003495', 'S0007732', 'S0006408', 'S0006846', 'S0009002', 'S0005591', 'S0001796', 'S0008656', 'S0001587', 'S0004020', 'S0009664', 'S0003101', 'S0005029', 'S0004886', 'S0007195', 'S0002843', 'S0000605', 'S0005275', 'S0003119', 'S0005064', 'S0004124', 'S0004299', 'S0009787', 'S0002218', 'S0001757', 'S0001305', 'S0002887', 'S0006138', 'S0000330', 'S0000220']"
"U0010927";"rose24@";"Brent";"Edwards";"1998/12/12";"New Caledonia";"normal";"['S0008304', 'S0008900', 'S0001118', 'S0003236', 'S0003186', 'S0003934', 'S0009749', 'S0009226', 'S0009447', 'S0010292', 'S0001721', 'S0006674']"
"U0011148";"tammyhampton@example.org";"Zachary";"Wiley";"1968/08/10";"Croatia";"Norml";"['S0006968', 'S0000128', 'S0008115', 'S0000518', 'S0009412', 'S0001564', 'S0008747', 'S0005271', 'S0007738', 'S0004164', 'S0003610', 'S0004924', 'S0006749', 'S0003549', 'S0004078', 'S0008226', 'S0004285', 'S0005049', 'S0001895', 'S0000097', 'S0000209', 'S0006225', 'S0009389', 'S0007305', 'S0007516', 'S0007266', 'S0003647', 'S0008037', 'S0008493', 'S0001877', 'S0009419', 'S0000815', 'S0003992', 'S0004540', 'S0000069', 'S0004728', 'S0008335', 'S0006935', 'S0007678', 'S0001686', 'S0004990', 'S0003591', 'S0001777', 'S0002989', 'S0005115', 'S0001034', 'S0003809', 'S0002293', 'S0000513']"
"U0010738";"bushjoseph@example.org";"Eric";"Sanchez";"1982/100000";"Chad";"normal";"['S0010412', 'S0006329', 'S0010665', 'S0000738', 'S0010380', 'S0010717', 'S0001525', 'S0006393', 'S0001673', 'S0005676', 'S0000181', 'S0001809', 'S0009100', 'S0007231', 'S0001789', 'S0007761', 'S0004908', 'S0008161', 'S0003783', 'S0003959', 'S0000386', 'S0004969', 'S0007714', 'S0002404', 'S0005615', 'S0004299', 'S0003245', 'S0008892', 'S0007933', 'S0000523', 'S0010287', 'S0008603', 'S0000593', 'S0008699', 'S0009177', 'S0007862', 'S0007138', 'S0009947']"
"U0011210";"zwatson@example.org";"Justin";"Pineda";"1977/09/17";"Colombia";"Premim";"['S0007578', 'S0009449', 'S0009716', 'S0000171', 'S0000438', 'S0004696', 'S0004648', 'S0002531', 'S0009524', 'S0006487', 'S0001185', 'S0004446', 'S0004408', 'S0001842', 'S0004422', 'S0002084', 'S0008715', 'S0002489', 'S0002637', 'S0000394', 'S0000135', 'S0006044', 'S0000810', 'S0003594', 'S0009124', 'S0000592', 'S0007706', 'S0010109', 'S0006009', 'S0006489', 'S0008268', 'S0000185', 'S0001130', 'S0005680', 'S0003789', 'S0003147', 'S0009478', 'S0007430', 'S0010312', 'S0006828', 'S0000667', 'S0009098', 'S0007366', 'S0001163', 'S0004580', 'S0008079', 'S0009940']"
"U0010818";"hunterspencer@.example.org";"Tonya";"Sims";"1985/02/25";"Italy";"premium";"['S0002283', 'S0005479', 'S0001638', 'S0006583', 'S0007383', 'S0006510', 'S0001894', 'S0007462', 'S0003444', 'S0002778', 'S0003933', 'S0008061', 'S0000837', 'S0003136', 'S0002367', 'S0007576', 'S0009069', 'S0002756', 'S0008188', 'S0001236', 'S0004851', 'S0001094', 'S0003958', 'S0005999', 'S0003500']"
"U0010838";"james05@example.net";"Douglas";"Graham";"1985/01/05";"Iceland";"normal";"['S0004151', 'S0006756', 'S0007668', 'S0002894', 'S0005955', 'S0009166', 'S0008681', 'S0005817', 'S0001171', 'S0000306', 'S0002057', 'S0007583', 'S0008101', 'S0007280', 'S0006058', 'S0010322', 'S0000770', 'S0006976', 'S0004056', 'S0002451', 'S0001573', 'S0003818', 'S0001518', 'S0001045', 'S0010030', 'S0010213', 'S0023473']"
"U0010400";"yirwin@example.com";"Jennifer";"Cruz";"19940228";"Holy See (Vatican City State)";"premium";"['S0007560', 'S0000345', 'S0006762', 'S0008868', 'S0005276', 'S0002362', 'S0000037', 'S0002942', 'S0001490', 'S0005651', 'S0005718', 'S0007101', 'S0009964', 'S0003461', 'S0001668', 'S0008411', 'S0001937', 'S0000079', 'S0000966', 'S0003524', 'S0009597', 'S0004513', 'S0007078', 'S0003130', 'S0001592', 'S0007372', 'S0006142', 'S0001238', 'S0010030']"
"U0010753";"gary12@example.net";"Michael";"Roberson";"1972/07/06";"Sri Lanka";"Premim";"['S0007367', 'S0005463', 'S0010399', 'S0004742', 'S0002582', 'S0000545', 'S0001864', 'S0003795', 'S0000204', 'S0009312', 'S0004675', 'S0006957', 'S0003444', 'S0009396', 'S0009254', 'S0007761', 'S0005236', 'S0001815', 'S0003027', 'S0006717', 'S0006736', 'S0006471', 'S0000280', 'S0010494', 'S0005183', 'S0004479', 'S0005078', 'S0009325', 'S0006485']"
"U0010869";"dawn16@example.com";"Duane";"Cantu";"1977/05/08";"Zimbabwe";"Norml";"['S0000573', 'S0010113', 'S0007009', 'S0006336', 'S0002495', 'S0001330', 'S0006295', 'S0001240', 'S0003858', 'S0008716', 'S0004698', 'S0007364', 'S0000813', 'S0009958', 'S0001276', 'S0005798', 'S0003402', 'S0003902', 'S0009087', 'S0003948', 'S0000153', 'S0008254', 'S0009685', 'S0004143', 'S0006874', 'S0002723', 'S0001359', 'S0010176', 'S0006819', 'S0006189', 'S0002780', 'S0001193', 'S0010682', 'S0009310', 'S0003650', 'S0007255', 'S0006743', 'S0000595', 'S0010708', 'S0000610', 'S0003630', 'S0006235', 'S0006354', 'S0000417', 'S0003882', 'S0002195']"
"U0010425";"gscott@example.net";"James";"Berry";"2004/11/13";"Netherlands";"premium";"['S0004255', 'S0003651', 'S0007387', 'S0006689', 'S0007208', 'S0008042', 'S0002982', 'S0009246', 'S0002339', 'S0009844', 'S0010700', 'S0009463', 'S0007359', 'S0007601', 'S0001526', 'S0005096', 'S0003912', 'S0009911', 'S0004504', 'S0002040', 'S0007222', 'S0005997', 'S0000185', 'S0006278', 'S0004040', 'S0005239', 'S0004842', 'S0008753', 'S0007448', 'S0003566', 'S0003564', 'S0008323', 'S0031067']"
"U0010265";"phillipsstephanie@example.com";"Rachel";"Sims";"1972/09/30";"Korea";"normal";"['S0010128', 'S0004679', 'S0000093', 'S0003251', 'S0005892', 'S0006318', 'S0001626', 'S0000438', 'S0007953', 'S0009871', 'S0007766', 'S0003213', 'S0010623', 'S0010122', 'S0000588', 'S0008205', 'S0007090', 'S0006622', 'S0000757', 'S0003307', 'S0009208', 'S0002670', 'S0000141', 'S0008028', 'S0000592', 'S0000764', 'S0001619', 'S0002768', 'S0009441', 'S0000884', 'S0005447', 'S0008961', 'S0002275', 'S0007404', 'S0008194', 'S0025048']"
"U0011167";"paige23@example.com";"Tracy";"Patterson";"1979/05/04";"Japan";"Exclusive";"['S0007118', 'S0006865', 'S0001856', 'S0003448', 'S0005470', 'S0005776', 'S0004498', 'S0000676', 'S0001540', 'S0006357', 'S0001745', 'S0010426', 'S0002017', 'S0006326', 'S0005957', 'S0004955', 'S0005404', 'S0007922', 'S0001579', 'S0010497', 'S0005243']"
"U0011429";"jacksonwilliam@example.net";"Robert";"Wallace";"1972/01/28";"India";"normal";"['S0006029', 'S0007986', 'S0010390', 'S0005840', 'S0006624', 'S0007176', 'S0009869', 'S0007608', 'S0010669', 'S0007373', 'S0007607', 'S0005934', 'S0004362', 'S0008319', 'S0009520', 'S0006102', 'S0000436', 'S0005016', 'S0005657', 'S0008421', 'S0004190', 'S0001205', 'S0003428', 'S0004286', 'S0009917', 'S0006713', 'S0000551', 'S0010359', 'S0009265', 'S0006900', 'S0004174', 'S0010347', 'S0001341', 'S0001403', 'S0009935', 'S0005180', 'S0003659', 'S0000271', 'S0007862', 'S0003773', 'S0003895', 'S0001903', 'S0030375']"
"U0011039";"denniswest#@example.net";"Laura";"Goodwin";"1980/07/20";"Svalbard & Jan Mayen Islands";"premium";"['S0006436', 'S0003250', 'S0002254', 'S0004536', 'S0000876', 'S0009571', 'S0008562', 'S0009963', 'S0003082', 'S0009158', 'S0006597', 'S0001932', 'S0003129', 'S0003811', 'S0007048', 'S0005668', 'S0007860', 'S0002624', 'S0008654', 'S0000338', 'S0005749', 'S0002047', 'S0008324', 'S0003878', 'S0005319', 'S0004561', 'S0007623', 'S0005537', 'S0001803', 'S0007845', 'S0005691']"
"U0011163";"abryant@example.net";"Christopher";"Flores";"1971/10/31";"Cambodia";"normal";"['S0007204', 'S0008478', 'S0010672', 'S0002070', 'S0001005', 'S0008092', 'S0003933', 'S0005045', 'S0002086', 'S0008024', 'S0001429', 'S0029300']"
"U0010520";"fpage@example.net";"Whitney";"Daniels";"1978/01/03";"Cape Verde";"Norml";"['S0002760', 'S0006742', 'S0004421', 'S0009094', 'S0002697', 'S0007828', 'S0001261', 'S0005787', 'S0000506', 'S0004681', 'S0004164', 'S0005960', 'S0001583', 'S0007643', 'S0010345', 'S0004851', 'S0004487', 'S0010159', 'S0006449', 'S0007816', 'S0001104', 'S0007920', 'S0002906', 'S0000116', 'S0009157', 'S0001569', 'S0004327', 'S0007335']"
"U0010769";"stevenslisa%@example.org";"William";"Roberts";"1979/08/07";"Fiji";"normal";"['S0006741', 'S0008139', 'S0002937', 'S0007703', 'S0010422', 'S0002764', 'S0001308', 'S0009258', 'S0005955', 'S0002296', 'S0001851', 'S0002062', 'S0007569', 'S0000587', 'S0009915', 'S0002304', 'S0007307', 'S0000778', 'S0006014', 'S0009053', 'S0004268', 'S0009800', 'S0005562', 'S0008112', 'S0007884', 'S0009369', 'S0010635', 'S0006064', 'S0010496', 'S0006114', 'S0000183', 'S0002455', 'S0010443', 'S0003234']"
"U0010825";"amy59@invalid_domain";"Olivia";"Ortiz";"1968/09/17";"Congo";"premium";"['S0005760', 'S0007857', 'S0003658', 'S0006441', 'S0008490', 'S0009874', 'S0008701', 'S0009555', 'S0009334', 'S0004041', 'S0007384', 'S0003115', 'S0001409', 'S0009209', 'S0008152', 'S0002720', 'S0010120', 'S0006587', 'S0001622', 'S0005737', 'S0004825', 'S0001379', 'S0006685', 'S0008244', 'S0005337']"
"U0010167";"hansonalan@example.org";"Frederick";"Cooper";"1990/02/12";"Cameroon";"Norml";"['S0006460', 'S0007174', 'S0003040', 'S0000418', 'S0001899', 'S0006134', 'S0000875', 'S0007948', 'S0008764', 'S0008809', 'S0009538', 'S0003972', 'S0007485', 'S0009254', 'S0007960', 'S0000979', 'S0008758', 'S0005258', 'S0003043', 'S0004774', 'S0001736', 'S0000253', 'S0002916', 'S0003276', 'S0007721', 'S0000086', 'S0002002', 'S0003950', 'S0004769', 'S0009019', 'S0002955', 'S0003025', 'S0005838', 'S0003781', 'S0008325', 'S0003854', 'S0009218', 'S0002570', 'S0009541', 'S0001777', 'S0004334', 'S0001500', 'S0010601', 'S0010330', 'S0007867', 'S0000067', 'S0009918', 'S0007160', 'S0000399']"
"U0010760";"matthewhansen@example.net";"Stacy";"Mcguire";"1978/10/15";"Uganda";"premium";"['S0001499', 'S0006905', 'S0002109', 'S0001550', 'S0003707', 'S0005326', 'S0008965', 'S0010126', 'S0007793', 'S0000765', 'S0007524', 'S0000302', 'S0000429', 'S0009713', 'S0005708', 'S0008202', 'S0000159', 'S0008809', 'S0003897', 'S0006308', 'S0001171', 'S0008673', 'S0009982', 'S0004542', 'S0003428', 'S0005478', 'S0000253', 'S0002756', 'S0005454', 'S0000549', 'S0006976', 'S0002780', 'S0006675', 'S0007341', 'S0006353', 'S0008433', 'S0001619', 'S0000759', 'S0003464', 'S0010078', 'S0010335', 'S0005727', 'S0006539', 'S0000162', 'S0000026', 'S0010092', 'S0001251', 'S0002484', 'S0004428', 'S0009322', 'S0029134']"
"U0011342";"lweber@invalid_domain";"Robert";"Murphy";"1993/04/26";"Iran";"premium";"['S0009282', 'S0007204', 'S0008159', 'S0009285', 'S0002740', 'S0008655', 'S0001889', 'S0006489', 'S0004302', 'S0001323', 'S0002399', 'S0010229', 'S0005850', 'S0002308', 'S0005667', 'S0007525']"
"U0011459";"qmeyer@example.net";"Brittany";"Vargas";"1984/02/26";"Seychelles";"premium";"['S0000431', 'S0010504', 'S0005760', 'S0002434', 'S0008102', 'S0002439', 'S0007256', 'S0008375', 'S0004157', 'S0004566', 'S0009207', 'S0008152', 'S0010467', 'S0025669']"
"U0010719";"hwallace@example.com";"Frank";"Gonzalez";"19720/05/20";"Turkey";"normal";"['S0004412', 'S0002234', 'S0009539', 'S0010555', 'S0002393', 'S0003138', 'S0003257', 'S0003004', 'S0001563', 'S0007633', 'S0004020', 'S0002610', 'S0008056', 'S0004908', 'S0003775', 'S0000029', 'S0005451', 'S0000871', 'S0010348', 'S0005387', 'S0005672', 'S0002055', 'S0002213', 'S0004851', 'S0002467', 'S0008335', 'S0002595', 'S0009259', 'S0001312', 'S0006649', 'S0001538', 'S0002017', 'S0000256', 'S0005746', 'S0000042', 'S0009465', 'S0002299', 'S0003824', 'S0008733', 'S0002001', 'S0009807', 'S0009108', 'S0006915']"
"U0010603";"saraellis@example.net";"Joseph";"Martinez";"1991/09/25";"Madagascar";"Norml";"['S0001414', 'S0005000', 'S0001763', 'S0010393', 'S0004308', 'S0001411', 'S0000532', 'S0009513', 'S0004699', 'S0005882', 'S0000571', 'S0005688', 'S0007458', 'S0007625', 'S0006697', 'S0006904', 'S0009338', 'S0004891', 'S0003351', 'S0002946', 'S0004144', 'S0000352', 'S0001274', 'S0007335']"
"U0010017";"john65@invalid_domain";"Ashley";"Hogan";"1992/12/12";"Bhutan";"normal";"['S0007538', 'S0007184', 'S0004504', 'S0004445', 'S0004231', 'S0005146', 'S0004441', 'S0009558', 'S0008797', 'S0009478', 'S0002101', 'S0010561', 'S0003725', 'S0009977', 'S0009555', 'S0007129']"
"U0011030";"gsmith@example.org";"Craig";"Rodriguez";"199610/29";"Taiwan";"normal";"['S0002805', 'S0009237', 'S0007295', 'S0002261', 'S0006420', 'S0000670', 'S0000022', 'S0001761', 'S0005606', 'S0000013', 'S0008898', 'S0003121', 'S0004273', 'S0010537', 'S0002193', 'S0009554', 'S0010163', 'S0005660', 'S0007852', 'S0002611']"
"U0010941";"kimberlyowen@example.net";"Sarah";"Carter";"1998/99/21";"India";"premium";"['S0005295', 'S0005655', 'S0006025', 'S0009218', 'S0002745', 'S0010423', 'S0004644', 'S0009053', 'S0003272', 'S0009552', 'S0009428', 'S0002846', 'S0007128', 'S0000706', 'S0009697', 'S0007459']"
"U0010025";"nicolemaynard@example.com";"Michelle";"Perry";"19830219";"Albania";"premium";"['S0006765', 'S0002397', 'S0006423', 'S0005909', 'S0006938', 'S0010016', 'S0007489', 'S0005854', 'S0000734', 'S0007439', 'S0006181', 'S0000377', 'S0006133', 'S0000185', 'S0002065', 'S0005744', 'S0008375', 'S0001909', 'S0009461', 'S0008126']"
"U0010061";"fsteinexample.net";"James";"Wood";"1983/02/15";"Wallis and Futuna";"normal";"['S0001654', 'S0001197', 'S0010546', 'S0004698', 'S0007481', 'S0008872', 'S0002639', 'S0010403', 'S0010321', 'S0005142', 'S0003444', 'S0009694', 'S0005987', 'S0004620', 'S0002914', 'S0005410', 'S0008950', 'S0002411', 'S0002217', 'S0000434', 'S0007167', 'S0001897', 'S0009634', 'S0008704', 'S0002923', 'S0001941', 'S0010331', 'S0005250', 'S0000621', 'S0005877', 'S0008342', 'S0006328', 'S0001214', 'S0010491', 'S0005115', 'S0008800', 'S0004468']"
"U0011220";"bartonnatalie@example.netk";"Isaiah";"Gomez";"1980/03/04";"French Polynesia";"normal";"['S0002735', 'S0004638', 'S0005513', 'S0001197', 'S0007653', 'S0006423', 'S0003093', 'S0006035', 'S0008059', 'S0002808', 'S0002041', 'S0010027', 'S0002463', 'S0003986', 'S0004446', 'S0002079', 'S0006847', 'S0009598', 'S0009300', 'S0004285', 'S0009283', 'S0008897', 'S0001159', 'S0003400', 'S0010235', 'S0006298', 'S0001584', 'S0010509', 'S0004270', 'S0007503', 'S0004316', 'S0006147', 'S0003574', 'S0010724', 'S0002202', 'S0007451', 'S0009488', 'S0004883', 'S0003287', 'S0008242', 'S0001981', 'S0000247', 'S0000177', 'S0004865', 'S0006612', 'S0004336', 'S0007248']"
